Person Name,Beer,Food,
Glen Martinez,Eisenbahn Defumada,Breakfast burrito,
Alberta Dean,New World Wheat,Stuffed ham,
Jackson Rose,Sunshine Wheat,Chicken à la King,
Celia Bell,Planet Porter / Boulder Porter,Toaster Strudel,
Flora Green,Bah Humbug,Salisbury steak,
Glenn Tran,God Jul - Winter Ale,Hog fry,
Jesse Scott,Old Growler,Hangtown fry,
Catherine Chapman,Pater 6,Russian dressing,
Sylvia Burgess,Twisted Thistle India Pale Ale,Potato skins,
Jackson Benson,Paint the Town Red,Creamed corn,
Lillian Matthews,Avalanche Amber,Hamburger,
Dennis Mitchell,Imperial Hefeweizen,Protein bar,
Bryan Moran,Flemish Primitive Wild Ale (Pin Head),Russian dressing,
Mable Buchanan,Ur-Weisse,Scampi,
Mabelle Santiago,Cold Hop,Eggs Benedict,
Lucy Page,Serafijn Christmas Angel,Pasta salad,
Miguel Hughes,Ultrabrune,Italian beef,
Josie Pierce,Old Growler,Vichyssoise,
Johnny Gomez,Imperial Hefeweizen,Cuisine of the Thirteen Colonies,
Harold Clayton,Undercover Investigation Shut-Down Ale,Blue-plate special,
Effie Welch,P.M. Porter,Butter cookie,
Leila Roy,Furious Beer,Lobster roll,
Lena Lambert,Harvest Ale 2005 (Calvados),Potato wedges,
Dale Rose,Aecht Schlenkerla Rauchbier MÃ¤rzen,Fry sauce,
Chester Willis,Abt 12,Home fries,
Jim Cook,Ornery Amber Lager, Turducken),
Gregory Sherman,Saison Voisin,Pumpkin pie,
Maurice Williamson,Kristall Weizen,Drunken chicken,
Brent Scott,Planet Porter / Boulder Porter,Slinger,
Jared Black,Geist Bock,Drunken chicken,
Harry Simpson,Pilsner,Patty,
Marc Black,Oerbier,Lobster Newberg,
Gussie Burgess,Bigfoot 2003,Sloppy joe,
Lida Schneider,Full Moon Winter Ale,Chicken sandwich,
Belle Davis,Old Crustacean Barleywine 2006,Chicken nugget,
Cora Wagner,90 Shilling,Surf and turf,
Iva Salazar,Doppelbock Dunkel,Chocolate chip cookies,
Milton McGuire,Twisted Thistle India Pale Ale,Fried chicken,
Amanda Day,LuciÃ©rnaga,Chimichanga,
Lucile Sandoval,India Pale Ale,Chicken French,
Dora Wheeler,Hitachino Nest Real Ginger Brew,Blue cheese dressing,
Sadie French,Slaapmutske Triple Nightcap,Potato wedges,
Raymond Stanley,Whitetail Wheat,Liver and onions,
Clyde Joseph,Mothership Wit,Italian beef,
Jerry McGuire,Toleration,Creamed corn,
Cordelia Parsons,Winter Ale,Dark chocolate,
Carrie Chambers,Spring Heat Spiced Wheat,Goulash,
Jean Garza,Saison Vielle Provision,Mulligan stew,
Josephine Soto,Winter Ale,Chicken and waffles,
Martin Underwood,Denver Pale Ale / DPA,Scrapple,
Francis Hubbard,Espresso Porter,Tetrazzini,
Ricardo Hoffman,Triple Dipsea Belgian,Surf and turf,
Sean Walsh,Harvest Ale 2005 (Sherry),Lobster Newberg,
Robert Weber,Export Ale,Clam cake,
Francisco Pope,Fat Belly Amber,Stuffed ham,
John Pratt,Woody Organic IPA,Jerky,
Henrietta Martinez,Moose Drool Brown Ale,Russian tea cake,
Sophia Gonzales,Houblon,Pancakes,
Leonard Reyes,Old Foghorn 2006,Bear claw,
Derek Greene,Flemish Primitive Wild Ale (Pin Head),Butter cookie,
Viola Parks,Hefeweizen,Cheesesteak,
Amy Watkins,Bah Humbug,Energy bar,
Laura Ball,Quadrupel,Cordon bleu,
Jesse Gordon,XX Black Angus Stout,Blue-plate special,
Nettie Glover,Bigfoot 2001,Butter cookie,
Lucas Flores,Fat Belly Amber,Corn chowder,
Mina Owens,Imperial Porter,Domesticated turkey,
Clifford McCormick,StÃ¼venbrÃ¤u Maibock,Carolina style,
Annie Kelly,Best Bitter,Choco pie,
Bettie Moreno,Yule Tide,Domesticated turkey,
Jacob Watkins,Oro de Calabaza,Oreo,
Allie Barker,Shiner Hefeweizen,Greek-American cuisine,
Harriett Hall,Levity Amber Ale,Corn chowder,
Nathaniel Bass,Pole Star Pilsner,Cuisine of the Thirteen Colonies,
Kevin Atkins,Certified Organic Extra Pale Ale,Cheese fries,
Carl Patrick,Gavroche French Red Ale,Milk toast,
Lizzie Henry,Woody Organic IPA,Lobster Newberg,
Alice Fuller,Goosinator Smoked Doppelbock 2007,Burnt ends,
Nancy Jones,Hitachino Nest Celebration Ale 2006,Ploye,
Charlie Wade,English Ale,Patty,
Maurice Payne,Cerveza Diablo,Fry sauce,
Todd Hill,Eisenbahn Dourada,Steak sandwich,
Harriet Austin,471 Extra ESB,Steak,
Celia Shaw,Old Engine Oil,Deviled egg,
Tommy Erickson,Extra Strong Vintage Ale,Mission burrito,
Leah Riley,NÃ¸gne Ã˜ Porter,Goulash,
Jeremiah Newman,Carnegie Stark-Porter,Stuffed ham,
Justin Bowman,Vertical Epic 07.07.07,Potato salad,
Allen Holt,471 Extra ESB,Carolina style,
Elva Jenkins,Pole Star Pilsner,Russian tea cake,
Jean Garza,Hocus Pocus,Potato salad,
Hunter Dixon,Premium Pils Edelherb,Stuffed ham,
Theodore Beck,Chazz Cat Rye,Hog fry,
Marc Simon,Oro de Calabaza,Hog fry,
Mayme Banks,Old Stock Ale 2007,Cuisine of Antebellum America,
Della Harrison,Mothership Wit,Creamed eggs on toast,
Justin Gonzales,Amber,Thousand Island dressing,
Iva Moreno,La Folie Falling Rock,Steamed clams,
Fred Curtis,Grotten Flemish Ale,German chocolate cake,
Elnora Harper,Snow Bound Winter Ale,Ammonia cookie,
Phillip Morton,Lia Fail Stone of Destiny Ale,Surf and turf,
Lura Flowers,Pale Ale,Reuben sandwich,
Elnora Kim,Brunette Nut Brown Ale,Tuna casserole,
Gregory McDaniel,Pannepot,Jell-O,
Larry Johnson,GABF 25th Year Beer,Hangtown fry,
Gussie Tyler,Framboise,White chocolate,
Gertrude Alexander,Spring Heat Spiced Wheat,Rabbit pie,
Ada Dean,Petrus Dubbel Bruin Ale,Frybread,
Marian Hopkins,Bond Street 19th Anniversary,Meatloaf,
Thomas Simmons,Czech Lager,Chicken sandwich,
Richard Clark,La Divine Double Blond,Steak sauce,
Blake Ramsey,Organic Gingerbread Ale,Squab,
Augusta Chapman,Pale Ale,Mulligan stew,
Lottie McCormick,Gavroche French Red Ale,Sonofabitch stew,
Julian Ramsey,Premium XB Bluebird Bitter,Ice cream cake,
Cameron Day,Hefeweizen,Breakfast burrito,
Travis Austin,Eisenbahn South American Pale Ale (S.A.P.A.),Swiss steak,
Landon Underwood,Nieuw Ligt Grand Cru 2006,Sour cream,
Glen Owen,Saison Imperiale,Lobster roll,
Marion Foster,EOS Hefeweizen,Chili dog,
Alma Carlson,Kerst Pater Special Christmas Beer,Chicken Divan,
Olivia Ryan,Aventinus Weizenstarkbier / Doppel Weizen Bock,Seafood cocktail,
Augusta Chapman,Serafijn Christmas Angel,Cheese fries,
Josie Hayes,English Ale,Cowboy beans,
Donald Webb,Der Weisse Bock,Ice cream cake,
Willie Clarke,Petrus Oud Bruin,Potatoes O'Brien,
Leonard Marsh,Modern Monks Belgian Blonde,Meatloaf,
Lettie Ramsey,Old Boardhead 2006,Meatcake,
Irene Bates,Irish Dry Stout,Chicken parmigiana,
Linnie Fowler,Classic Gueuze,Chicken fried steak,
Darrell Turner,Christmas Ale 2007,Clam cake,
Connor Ramsey,Arabier,Protein bar,
Sara Bailey,Old Guardian Barley Wine 2007,White chocolate,
Lura Rodriguez,PÃ¨re NoÃ«l,Ploye,
Georgia Terry,Bourbon Imperial Stout,Pastrami,
Georgie Stephens,Blanche Double,Ploye,
Winnie Ross,Premium Pils Edelherb,Chicken and waffles,
Derrick Goodwin,Best Bitter, Turducken),
Nelle Ortega,Zinnebir,Chicken and waffles,
Nelle Lindsey,Harbor Light Ale,Cajun cuisine,
Kenneth Chambers,Illuminator Doppelbock,Oysters Rockefeller,
Anne Burns,Grand Cru 2006,Apple sauce,
Ora Garrett,Biere de Mars,Sausage gravy,
Elsie Jimenez,16,Fried chicken,
Linnie Underwood,Ripon Jewel Ale,Sausage gravy,
Kate McDonald,Nieuw Ligt Grand Cru 2006,Brunswick stew,
Carlos Hunt,Super,Soul food,
Jay Lucas,Piranha Pale Ale,Lobster roll,
Jean Andrews,Blonde Bock,Butter cookie,
Lydia Vargas,Flemish Primitive Wild Ale (Demon Fish),Succotash,
Edwin Massey,WPA (Wheat Pale Ale),Bull roast,
Sophie Reese,EOS Hefeweizen,Carne pizzaiola[citation needed],
Belle Maldonado,Triple Exultation Old Ale,Sonofabitch stew,
Jerome Lamb,Nutty Brewnette,Pepperoni,
Elmer Moody,Shiner Hefeweizen,Calf's liver and bacon,
Iva Moore,Grimbergen Blonde,Cowboy beans,
Maude Rowe,Woody Organic IPA,Hot chicken,
William Newton,Jenlain Blonde, Turducken),
Samuel Pittman,Triple Exultation Old Ale,Burnt ends,
Clifford Luna,Hell,Italian beef,
Jordan Gomez,Boulevard Pale Ale,Hamburger,
Arthur Welch,Calabaza Blanca,Pastrami,
Sam Simpson,LuciÃ©rnaga,Hot chicken sandwich,
Leo Patterson,Best Bitter,Ranch dressing,
Callie Hines,Pannepot,Chowder,
Mason Burns,Lump of Coal Dark Holiday Stout,Doughnut,
Eleanor Parks,Bigfoot 2002,Stuffed zucchini,
Bradley Luna,Bigfoot 2004,Lobster roll,
Floyd Caldwell,Strange Ghost,Potatoes O'Brien,
Bernard Rodgers,Honey Bunny Blonde Ale,Chicken sandwich,
Dennis Mitchell,Kriek,Chicken à la King,
Clyde Salazar,Oerbier,Macaroni and cheese,
Helena Rogers,Pilsner,Chowder,
Elijah Wood,Christmas Bock,Bull roast,
Bernard Wilkins,Christmas Ale 2007,Surf and turf,
Nettie Park,Pilsner,Ribs,
Marvin Reyes,Zinnebir,Cheesesteak,
Ada Carter,Kristall Weizen,Mashed potato,
Jennie Delgado,Boulevard Dry Stout,Maple bacon donut,
Seth Hernandez,Gavroche French Red Ale,Maple bacon donut,
Louise Malone,Bovine Belgian Winter Ale,Buffalo wing,
Ian Summers,Tripel,Grits,
Lucas Day,Sawtooth Ale,Sausage gravy,
Christopher Lawson,Oatmeal Stout,Meatcake,
Lulu Morales,Abbey Belgian Style Ale,Reuben sandwich,
Elsie Jimenez,Belgian Wit,Cuisine of the Thirteen Colonies,
Christian Saunders,Sharptail Pale Ale,Cowboy beans,
Margaret Sandoval,JuJu Ginger,Muffuletta,
Fred Curtis,Ultrabrune,Succotash,
Leroy Fields,Cerveza Negra,Chicken and waffles,
George Lane,Winter Ale,Ice cream cake,
Bobby Myers,India Pale Ale,Oysters Rockefeller,
Phillip Johnston,Premium Pils Edelherb,Seafood cocktail,
Bess Morales,Old Slug Porter,Macaroni salad,
Michael Ingram,Irish Red,Steamed clams,
Johnny Blake,KÃ¶lsch,Goulash,
Grace Walsh,Winter Ale,Ribs,
Harold Mendez,Der Weisse Bock,Chocolate chip cookies,
Aaron Massey,Old Blarney Barleywine,Doughnut,
Henrietta Wilkerson,Sunshine Wheat,Seafood cocktail,
Roy Bridges,Skinny Dip,Chicken à la King,
Polly McBride,Nightmare,Corn chowder,
Evan Harrington,Nightmare,Apple butter,
Norman Chambers,Hefeweizen,Tetrazzini,
Mario Harrison,Bos Keun,Vichyssoise,
Olive Love,Podge Belgian Imperial Stout,Mashed potato,
Frances Grant,Irish Style Ale,Bear claw,
Sam Murray,Planet Porter / Boulder Porter,Mashed pumpkin,
Jay Wheeler,Amber,Italian dressing,
Lida Boyd,Dark Beer / StiftsbrÃ¤u,Oreo,
Frances Andrews,Moonraker,Stuffed ham,
Gordon Weaver,ESB,Cheese dog,
Francisco Ortega,Oatmeal Stout,Biscuit (and Biscuits and gravy),
Ellen Terry,Kent Lake Kolsch,Bread,
Ryan Christensen,Wiesen Edel Weisse,Succotash,
Blake Ramsey,Pleasanton Pale,Tomato compote,
William Newton,Old Slug Porter,Scrapple,
Lillian Matthews,Houblon,Russian tea cake,
Carrie Valdez,Blue Dot Double India Pale Ale,Italian beef,
Clifford Walsh,Certified Organic Porter,Chicken à la King,
Anne Snyder,Schwarzbier,Dark chocolate,
Marion Foster,Pale Ale,Cheese fries,
Wayne Cox,Old Foghorn 2001,Pop-Tarts,
Theresa Allen,Old Foghorn 2006,Clam chowder,
Lettie Perez,Paddle Out Stout,Mashed pumpkin,
Erik Montgomery,Jeremiah Red,Corned beef,
Jordan Atkins,Pitchfork Rebellious Bitter,Poppyseed muffin,
Donald Gutierrez,Oak Aged IPA,Chicken à la King,
Frederick Logan,ESB (Extra Special Blizzard),Milk chocolate,
Lucille Robbins,Oatmeal Stout,Italian dressing,
Elva George,Irish Style Ale,Tetrazzini,
Bettie Myers,Easy Street Wheat,American Chinese cuisine,
Ola Murray,Flemish Primitive Wild Ale (Demon Fish),Jell-O,
Alice West,Golden Ale,Chicken sandwich,
Gary Ortiz,Summer Lightning,Stuffed ham,
Maude Collins,Hot Shot ESB,Buffalo burger,
Christina Maxwell,Harvest Ale 2002,Domesticated turkey,
Clyde Simon,La Divine Tripel Amber,Choco pie,
Marion Brown,Petrus Oud Bruin,Eggs Neptune,
Brian Jimenez,Casey Jones Imperial IPA,City chicken,
Daniel Young,Eisenbahn Dourada,Macaroni salad,
Sara Neal,Hefe Proper Ale,Clam chowder,
Luke Webb,Pride & Joy Mild Ale,Hot chicken,
Mario Vargas,Gueuze-Lambic,Mashed pumpkin,
Thomas Vega,White Christmas,Tomato compote,
Jayden Frazier,Bock,Chicken French,
Victor Sanders,Fat Belly Amber,Ice cream cake,
Daisy Brady,Bender Beer,Butter cookie,
Leo Hudson,Widdershins Barleywine,Clam cake,
Bruce Santiago,JÃ¶rger WeiÃŸe Hell,Choco pie,
Christian Page,NÃ¸gne Ã˜ Pale Ale,Chicken fried steak,
Katie Zimmerman,Urthel Vlaemse Bock,Patty,
Cornelia Hart,Inversion IPA,Poppyseed muffin,
Floyd Beck,Cocoa Porter,Pizza strips,
Viola James,Bavarian Bock,Muffuletta,
Bettie Cruz,American Pale Ale,Corn dog,
Ruth Parsons,Triple,Chips and dip,
Randall Briggs,Imperial Stout,Chips and dip,
Rodney Fitzgerald,Ambree,Fajita,
Delia Hampton,Geist Bock,Meatcake,
Nellie Walton,Schlenkerla Helles Lagerbier,Ice cream cake,
Lulu Bowman,Oro de Calabaza,Greek-American cuisine,
Tillie Marsh,Imperial Stout,Clam chowder,
Clifford Hoffman,Gavroche French Red Ale,Liver and onions,
Alexander Silva,Cardinal Pale Ale,Home fries,
Ola Murray,Flemish Primitive Wild Ale (Demon Fish),Pop-Tarts,
Kate Daniel,Eccentric Belgian Wheat,Mozzarella sticks,
Henry Cunningham,Hefeweizen,Garden salad,
May Mullins,Pale Ale,Sloppy joe,
Harvey Bridges,Oatmeal Stout, Turducken),
Olivia Ryan,Golden Ale,Senate bean soup,
Ralph Lane,Robert the Bruce Scottish Ale,Choco pie,
Maud Williams,Bigfoot 2004,Pumpkin pie,
Jerome Farmer,Blonde,Cheese fries,
Christopher Lawson,Amber Ale,Apple sauce,
Ricky Castillo,Easy Street Wheat,Calf's liver and bacon,
Aiden Pratt,La Divine Tripel Amber,Domesticated turkey,
Carlos Buchanan,Jeremiah Red,Deviled egg,
Randall Greene,Bigfoot 2002,Cuisine of the Thirteen Colonies,
Alberta Roberts,Bourbon Barrel Porter,Chicken à la King,
Lura Pierce,Kapuziner Schwarz-Weizen,Sloppy joe,
Dustin Weber,Pils,Hog fry,
Katherine Aguilar,Old Boardhead 2006,French dip,
Jose Willis,Imperial Porter,Sandwich,
Linnie Gibbs,Black Jack Porter,Thanksgiving turkey,
Louis Patrick,Maibock,Potato skins,
Tom Doyle,Pale Ale,Juba,
Edith Bennett,Shining Star Pale Ale,Lobster roll,
Todd Gonzales,Beer Town Brown,Potatoes O'Brien,
Jon Hopkins,Nutty Brewnette,Milkshake,
Ethan Poole,Stout,Fried chicken,
Eva Sullivan,Irish Red,Corn relish,
Zachary Abbott,Classic Gueuze,Hot chicken,
Mathilda Fitzgerald,Rader AmbrÃ©e,Dark chocolate,
Lillian McCoy,Podge Belgian Imperial Stout,Surf and turf,
Devin Brown,Hitachino Nest Espresso Stout,Turducken,
Mina Strickland,Nugget, Turducken),
Claudia Bowman,Extra Strong Vintage Ale,Garden salad,
Tom Wilson,Moonraker,Lobster roll,
Clayton Webb,Jack of Spades Schwarzbier,Celery Victor,
Clyde Mann,IPA,Goulash,
Daniel Warner,Golden Ale,Domesticated turkey,
Frederick Vasquez,Demolition,London broil,
Aaron Marshall,Nugget,Fajita,
Anne Snyder,Blue Dot Double India Pale Ale,Seafood cocktail,
Maurice Wright,La Rossa,Potato salad,
Joseph Todd,Certified Organic Porter,Eggs Benedict,
Corey Chambers,Der Weisse Bock,City chicken,
Vincent Carlson,Bully! Porter,Chicken fried bacon,
Samuel Yates,malty middle,Lobster roll,
Craig Hardy,Old Princeton Landing IPA,Jell-O,
Hulda McGuire,Sapporo Premium Beer,Hamburger,
Nina Garza,Stouterik / The Brussels Stout,German chocolate cake,
Sarah Alvarado,Blonde Bock,Pepperoni,
Elsie Brooks,Shiner Hefeweizen,Toaster Strudel,
Richard Byrd,Wildcat Wheat,Corned beef,
Evelyn Adkins,Odell IPA,Chili con carne,
Lizzie Hoffman,Petrus Gouden Tripel Ale,Chicken fingers,
Gordon Schneider,Double IPA,Pumpkin pie,
Jayden Matthews,Oak-Aged Belgian Tripel,Corn relish,
Derek Greene,Silk Lady,Corn chowder,
Bettie Tyler,Rauchbier Lager,Apple butter,
Eva Sullivan,Petrus Dubbel Bruin Ale,London broil,
Bruce Cortez,God Jul - Winter Ale,Eggo,
Barry Ingram,Paint the Town Red,London broil,
Alexander Caldwell,Wildcat Wheat,Apple butter,
Owen Francis,Bitter and Twisted,Corn relish,
Elva Page,Carnegie Stark-Porter,Ribs,
Gene Reese,The Unforgiven Amber Ale,Cuisine of the Thirteen Colonies,
Harry Willis,Grand Cru 2006,Maple bacon donut,
Mario Hall,Oatmeal Stout,Surf and turf,
Charlotte Washington,Hibernation Ale,Cornish game hen,
Lester Bass,Tripel,Buffalo burger,
Russell Sandoval,Harvest Ale 2002,Ammonia cookie,
Warren Powell,Cold Hop,Lobster roll,
Jean Myers,Epiphany Ale,Lobster Newberg,
Alta Jimenez,Slaapmutske Triple Nightcap,Fry sauce,
Abbie Norman,Red Sled Winter Ale,Pumpkin pie,
Marc Stokes,Pilsner,Scampi,
Patrick Williams,Bigfoot 2000,Swiss steak,
Clayton Rice,Bavarian Bock,Scrapple,
Lydia Parker,Snow Bound Winter Ale,Pancakes,
John Mendez,Belgian Abbey,Chicken fingers,
Abbie Quinn,EKU 28,Pumpkin pie,
Stella Anderson,Blue Paddle Pilsener,Maple bacon donut,
Shane Cunningham,Schlenkerla Helles Lagerbier,Stuffed peppers,
Olivia Morales,Tikka Gold,Pemmican,
Gertrude Wilson,Abbey Belgian Style Ale,Eggs Benedict,
Jordan Wilkins,Fairfax Coffee Porter,Bull roast,
Maude Colon,Harvest Ale 2005 (Sherry),Maple bacon donut,
Belle Nash,Bam BiÃ¨re,Mozzarella sticks,
Leila Roy,Yeti Special Export,Succotash,
Charlotte Reeves,Irish Style Ale,Poppyseed muffin,
Charlie Haynes,Cocoa Porter,Peanut butter,
Hester Lewis,Flemish Primitive Wild Ale (Demon Fish),Cornish game hen,
Rena Clayton,Smoked Hefe,Juba,
Austin Walters,Grand Cru,Domesticated turkey,
Jackson Wallace,Harvest Ale 2005,Clam cake,
Frederick Rios,Smoked Hefe,Frybread,
Mittie Lewis,Blue Paddle Pilsener,Sandwich,
Victoria Sandoval,Blanche de Namur,Brunswick stew,
Leila Hunt,2010-07-22 20:00:20 UTC,Buffalo burger,
Kyle Cohen,Old Foghorn 2001,Eggo,
Nathan Nelson,Ironwood Dark,Potato salad,
Sadie Doyle,Pauwel Kwak,Onion ring,
Sally Rodriguez,Houblon,Pop-Tarts,
Kate Hayes,Witbier,Soul food,
Ophelia Roberson,Harvest Hefeweizen,Fortune cookie,
Emily Conner,Jack of Spades Schwarzbier,Tuna casserole,
Michael Henry,Barleywine,Pork and beans,
Anne Stewart,Kent Lake Kolsch,Popover,
Lucinda Hunt,Irish Dry Stout,Lobster Newberg,
Della Christensen,Northern Light Lager,Apple sauce,
Samuel Wolfe,New Belgium Trippel Belgian Style Ale,Ribs,
Cole Morton,Stout,Meatloaf,
Maggie Clark,Avalanche Amber,Milkshake,
Harriet Austin,Double India Pale Ale,Liver and onions,
Todd Andrews,Whitetail Wheat,Cornish game hen,
Patrick Newman,Morocco Ale,Butter cookie,
Lily Willis,Seriously Bad Elf,Hog fry,
Elsie Garner,Grotten Flemish Ale,Potatoes O'Brien,
Teresa Cain,Lucifer,Corned beef,
Wayne Robbins,Premium Pils Edelherb,Greek-American cuisine,
Sara Bailey,Buzzsaw Brown,American Chinese cuisine,
Robert Davidson,Red Ale,Squab,
Scott Bush,Oak-Aged Belgian Tripel,Deviled crab,
Cody Valdez,LuciÃ©rnaga,Italian-American cuisine,
Randall Boone,La Folie,Goulash,
Augusta Chapman,Tatonka Stout,Squab,
Cordelia Goodman,Bender Beer,Chicken fried steak,
Mark Collier,Tatonka Stout,Cordon bleu,
Rose Lawson,Christmas Ale 2007,Potato skins,
Ora Luna,Cocoa Porter,Toaster Strudel,
Joel Fletcher,Old Guardian Barley Wine 2007,Steak sauce,
Harold Clayton,Aventinus Weizenstarkbier / Doppel Weizen Bock,Ice cream cake,
Ellen Terry,Lucifer,Mission burrito,
Iva Nguyen,Triple Exultation Old Ale,Buffalo burger,
Annie Kelly,Hefeweizen,Deviled crab,
Bernard Webb,Quelque Chose,Russian tea cake,
Cynthia Saunders,India Pale Ale,Pasta salad,
Franklin Gregory,Casey Jones Imperial IPA,Tetrazzini,
Micheal Davis,Biere de Mars,Slinger,
Francisco Atkins,Demolition,Chicken à la King,
Jason Jackson,Eisenbahn Defumada,Deviled crab,
Myra Valdez,Dark German Lager,Stuffed ham,
Bertha Osborne,Old Growler,Ammonia cookie,
Celia Sutton,Harvest Ale 2005 (Sherry),Pancakes,
Cecilia Foster,Train Wreck IPA,Bear claw,
Jon Christensen,Certified Organic India Pale Ale,Lobster roll,
Daniel Greene,Warrior IPA,Lobster roll,
Gabriel Silva,Ironwood Dark,Choco pie,
Della Wheeler,Hefe Weizen,Deviled egg,
Lottie Richards,Odell Red Ale,Barbecue (see below for specific types),
Eunice Nichols,90 Shilling,Mission burrito,
Sylvia Sanchez,Skinny Dip,Burnt ends,
Sara Singleton,Old Growler,Fry sauce,
Jesus Soto,Casey Jones Imperial IPA,Pizza strips,
Jon Hopkins,Porter,White chocolate,
Sylvia Burgess,Eisenbahn South American Pale Ale (S.A.P.A.),Corn dog,
Bessie Mason,Ripon Jewel Ale,Chicken and waffles,
Mason Barber,Lager,Sonofabitch stew,
Lena Castillo,Oatmeal Stout,Milkshake,
Rodney Fitzgerald,Maple Nut Brown Ale Ale,Chicken fried steak,
Nathan Rodgers,India Pale Ale,Swiss steak,
Alejandro Welch,Pale Ale,Grits,
Glen Gregory,Old Princeton Landing IPA,Milk toast,
Arthur Guerrero,Blanche des Moines,Buffalo burger,
Jerry Fletcher,Mothership Wit,Pastrami,
Troy Stevens,Flemish Primitive Wild Ale (Spoon Whacker),Poppyseed muffin,
Katharine Patterson,Eisenbahn Defumada,Pancakes,
Delia Ingram,Gavroche French Red Ale,French dip,
Rosetta Schmidt,Woody Organic IPA,Engastration (e.g.,
Nora Ruiz,Certified Organic India Pale Ale,Chicken fried bacon,
Josephine Carr,Sandbagger Gold,Chicken parmigiana,
Isabel Simpson,Iron Fist Pale Ale,Brunswick stew,
Cora Terry,Special London Ale,Celery Victor,
Amy Crawford,Prairie Pale,Meatloaf,
Bettie Cruz,Canaster Winter Scotch,Chicken fingers,
Lora Figueroa,Warka Strong,Scrapple,
Ophelia White,Witbier,Italian-American cuisine,
Annie Munoz,Blue Paddle Pilsener,White chocolate,
Allen Boone,16,Liver and onions,
Alta Graves,EOS Hefeweizen,Senate bean soup,
Ronald Willis,Rauchbier Lager,Bookbinder soup,
Vincent McGee,Blarney Stone Stout,Toaster Strudel,
George Nunez,Pauwel Kwak,Chicken sandwich,
George Dennis,Jack of Spades Schwarzbier,Ice cream cake,
Jeremiah Newman,Aecht Schlenkerla Rauchbier MÃ¤rzen,Bookbinder soup,
Maude Fleming,Pitchfork Rebellious Bitter,Sausage gravy,
Gussie Benson,Pale Ale,Eggs Benedict,
Willie Morrison,Aventinus Weizen-Eisbock,City chicken,
Willie Chapman,Oak Aged Ebenezer,Surf and turf,
Lucile French,Odell Red Ale,Chocolate chip cookies,
Landon Massey,Petrus Blond Ale,Baked potato,
Nancy Aguilar,Hefeweizen,Liver and onions,
Cynthia Schultz,Bond Street 19th Anniversary,Italian beef,
Gerald Paul,Smoked Hefe,Pasta salad,
Adele Sherman,Adriaan,Chicken sandwich,
Walter Arnold,Super,Calf's liver and bacon,
Jackson Williams,Triple Dipsea Belgian,Italian-American cuisine,
Marian Rowe,Czech Lager,Bread,
Kate Hampton,Haymaker Extra Pale Ale,Tetrazzini,
Cornelia Hansen,Creamy Dark,City chicken,
Jesse Brady,Cocoa Porter,Milk toast,
Hester Burns,Sandy Beach Blonde Hefeweizen,Macaroni salad,
Rosalie Moore,Iron Fist Pale Ale,Brunswick stew,
Charlotte Singleton,Podge Belgian Imperial Stout,Mashed potato,
Roxie Black,EKU 28,Cheesesteak,
